file,variable,dtype,total_rows,null_count,null_pct,unique_values,min,max,mean,median,special_missing_codes
BPXO_L.xpt,BPXOPLS2,float64,7801,296,3.79,91,32.0,141.0,73.087,72.0,77:187; 99:39
BPXO_L.xpt,BPXOPLS3,float64,7801,321,4.11,93,31.0,154.0,73.685,73.0,77:213; 99:40
CBC_L.xpt,SEQN,int64,8727,0,0.0,8727,130378.0,142310.0,136351.108,136385.0,None
CBC_L.xpt,WTPH2YR,float64,8727,0,0.0,7425,0.0,253478.778,37080.516,29684.976,None
CBC_L.xpt,LBXWBCSI,float64,8727,1134,12.99,145,2.1,20.8,6.967,6.7,7:133; 9:59
CBC_L.xpt,LBXLYPCT,float64,8727,1145,13.12,557,3.1,78.9,31.936,31.1,7:2
CBC_L.xpt,LBXMOPCT,float64,8727,1145,13.12,160,1.3,25.9,8.078,7.8,7:167; 9:115
CBC_L.xpt,LBXNEPCT,float64,8727,1145,13.12,597,12.4,92.1,56.506,57.4,77:2
CBC_L.xpt,LBXEOPCT,float64,8727,1145,13.12,158,0.0,46.7,2.814,2.3,7:15; 9:6
CBC_L.xpt,LBXBAPCT,float64,8727,1145,13.12,35,0.0,4.2,0.79,0.75,None
CBC_L.xpt,LBDLYMNO,float64,8727,1145,13.12,75,0.2,9.8,2.175,2.1,None
CBC_L.xpt,LBDMONO,float64,8727,1145,13.12,18,0.1,1.8,0.55,0.5,None
CBC_L.xpt,LBDNENO,float64,8727,1145,13.12,124,0.5,16.1,4.004,3.8,7:33; 9:9
CBC_L.xpt,LBDEONO,float64,8727,1145,13.12,25,0.0,6.0,0.194,0.2,None
CBC_L.xpt,LBDBANO,float64,8727,1145,13.12,4,0.0,0.3,0.05,0.0,None
CBC_L.xpt,LBXRBCSI,float64,8727,1134,12.99,318,2.44,7.08,4.668,4.66,None
CBC_L.xpt,LBXHGB,float64,8727,1134,12.99,110,6.3,18.6,13.726,13.7,9:3
CBC_L.xpt,LBXHCT,float64,8727,1134,12.99,265,19.9,54.9,40.655,40.6,None
CBC_L.xpt,LBXMCVSI,float64,8727,1134,12.99,412,52.5,116.7,87.336,87.9,77:7; 99:11
